#,Term,Sinhala Term,Tamil Term,Glossary
4278,judgment by consent,එකඟත්ව නඩු තීන්දුව,சம்மதத் தீர்ப்பு,Law
4279,judgment delivered,නඩු තීන්දුව ප‍්‍රකාශ කරන ලදී,தீர்ப்பு அளிக்கப்பட்டது,Law
4280,judgment in personam,පුද්ගල සීමිත නඩු තීන්දුව,ஆள்குறி தீர்ப்பு,Law
4281,judgment in rem,සියල්ලම බැඳෙන නඩු තීන්දුව,பொருள்குறி தீர்ப்பு,Law
4282,judicatum solvi,නඩු තන්දුව ඉටු කිරීම,தீர்ப்பை நிறைவேற்றுதல்,Law
4283,judicature act,අධිකරණ සංවිධාන පනත,நீதித்துறைச் சட்டம்,Law
4284,judicial act,අධිකරණ කාර්යය,நீதிமுறைச் செயல்,Law
4285,judicial anomaly,අධිකරණ විෂමතාව,நீதிமுறை முரண்பாடு,Law
4286,judicial arbitration,අධිකරණ තීරකකරණය,நீதிமுறை நடுத்தீர்ப்பு,Law
4287,judicial assessor,විනිශ්චය සහායක,நீதிமுறை மதிப்பீட்டாளர்,Law
4288,judicial capacity,විනිශ්චය ශක්නුතාව,நீதிமுறைத் தகவு,Law
4289,judicial cognizance,අධිකරණ සංඥේයත්වය,நீதிமுறை கணிப்பு,Law
4290,judicial committee,අධිකරණ කමිටුව,நீதிச் செயற்குழு,Law
4291,judicial confession,අධිකරණ අපරාධෝච්චාරණය,நீதிமுறைக் குற்றவொப்பு,Law
4292,judicial control,අධිකරණ පාලනය,நீதிமுறைக் கட்டுப்பாடு,Law
4293,judicial decision,අධිකරණ තීරණය,நீதிமுறை முடிபு,Law
4294,judicial declartion,අධිකරණ ප්‍රකාශය,நீதிமுறை வெளிப்படுத்துகை,Law
4295,judicial decree,අධිකරණ තීන්දු ප‍්‍රකාශය,நீதித் தீர்வை,Law
4296,judicial determination,අධිකරණ නිගමනය,நீதிமுறைத் தீர்மானம்,Law
4297,judicial dicta,අධිකරණ වාචිත,நீதிமொழிவுகள்,Law
4298,judicial discretion,අධිකරණ අභිමතිය,நீதிமுறைத் தற்றுணிவு,Law
4299,judicial district,අධිකරණ දිස්ත‍්‍රික්කය,நீதிநிருவாக மாவட்டம்,Law
4300,judicial division,අධිකරණ කොට්ඨාසය,நீதிநிருவாகப் பகுதி,Law
4301,judicial errror,අධිකරණ ‍‍දෝෂය      ‍,நீதி வழு,Law
4302,judicial evidence,අධිකරණ සාක්ෂිය,நீதிச் சான்று,Law
4303,judicial hearing,අධිකරණ විභාගය,நீதிமுறைக் கேட்பு,Law
4304,judicial hierarchy,අධිකරණ ධූරාවලිය,நீதிமுறை அதிகாரப் படிநிலை,Law
4305,judicial inquiry,අධිකරණ විමසීම ; අධිකරණ විභාගය,நீதி விசாரணை,Law
4306,judicial interpretation,අධිකරණ අර්ථ නිරූපණය,நீதிமுறைப் பொருள் கோடல்,Law
4307,judicial investigation,අධිකරණ විමර්ශනය,நீதிமுறைப் புலனாய்வு,Law
4308,judicial jurisdiction,අධිකරණ බල සීමාව,நீதிமுறை நியாயாதிக்கம்,Law
4309,judicial liberty,අධිකරණ නිදහස,நீதிமுறைச் சுதந்திரம்,Law
4310,judicial notice,අධිකරණය සැලකිල්ලට පිළිගැනීම,நீதிமுறைக் கவனிப்பு,Law
4311,judicial notice,අධිකරණ දැනුම්දීම,நீதிமன்றக் கணிப்பு,Law
4312,judicial oath,අධිකරණ දිවුරුම,நீதிச் சத்தியம்,Law
4313,judicial officer,අධිකරණ නිලධරයා,நீதித்துறை அலுவலர்,Law
4314,judicial opinion,අධිකරණ මතය,நீதிமுறை அபிப்பிராயம்,Law
4315,judicial order,අධිකරණ ආඥාව,நீதிமுறைக் கட்டளை,Law
4316,judicial power,අධිකරණ බලය,நீதித்துறைத் தத்துவம்,Law
4317,judicial precedent,අධිකරණ පුර්වාදර්ශය,நீதிமுறை முன்தீர்ப்பு,Law
4318,judicial precedents,අධිකරණ පුර්වාදර්ශ,நீதித்துறை முன்னுறு,Law
4319,judicial precision,අධිකරණ යථාතථ්‍යය,நீதிமுறைச் செப்பம்,Law
4320,judicial privilege,අධිකරණ වරප්‍රසාද,நீதிமுறைச் சிறப்புரிமை,Law
4321,judicial proceeding,අධිකරණ කටයුත්ත,நீதி நடவடிக்கை,Law
4322,judicial process,අධිකරණ ක‍්‍රියා මාර්ගය; අධිකරණ කැඳවීම් නියෝගය,நீதிமன்றக் கட்டளை,Law
4323,judicial recognition,අධිකරණ පිළිගැනීම,நீதிமுறை அங்கீகாரம்,Law
4324,judicial record,අධිකරණ වාර්තාව,நீதிமுறைப் பதிவேடு,Law
4325,judicial remedy,අධිකරණ ප‍්‍රතිකර්මය,நீதிமுறைப் பரிகாரம்,Law
4326,judicial review,අධිකරණ සමාලෝචනය,நீதிமுறை மீளாய்வு,Law
4327,judicial sentence,අධිකරණ දණ්ඩන නියමය,நீதிமுறைத் தண்டனைத் தீர்ப்பு,Law
4328,judicial separation,නීති මාර්ගයෙන් වෙන්වීම,நீதிமுறைப் பிரிவு,Law
4329,judicial sequetration,අධිකරණ දේපළ තහනම,நீதிமுறை நடுக்கட்டல்,Law
4330,judicial service advisory board,අධිකරණ සේවා උපදේශක මංඩලය,நீதிச்சேவை மதியுரைச் சபை,Law
4331,judicial service commission,අධිකරණ සේවා කොමිෂන් සභාව,நீதிச்சேவை ஆணைக்குழு,Law
4332,judicial service disciplinary board,අධිකරණ සේවා විණයානු මංඩලය,நீதிச்சேவை ஒழுக்காற்றுச் சபை,Law
4333,judicial settlement,අධිකරණ බේරුම,நீதிமுறை நிர்ணயம்,Law
4334,judicial theory,අධිකරණ න්‍යාය,நீதிமுறைக் கொள்கைகள்,Law
4335,judicial tribunal,අධිකරණ විනිශ්චය අධිකාරය,நீதி நியாயசபை,Law
4336,judicial wisdom,අධිකරණ ප‍්‍රඥාව,நீதிநெறி மதிநுட்பம்,Law
4337,Judicial writ,විනිශ්චය රීට් ආඥාව,நீதிமுறை ரீட் கட்டளை,Law
4338,judicial zone,අධිකරණ කලාපය,நீதிநிருவாக வலயம்,Law
4339,judiciary,අධිකරණය,நீதித்துறை,Law
4340,judicium dei,දේව තීරණය,தெய்வத் தீர்ப்பு,Law
4341,judicium finium regendorum,මායිම් තිරණය කිරීම සඳහා විනිශ්චයක්,நீதிமுறை மெய்யறிவு; எல்லை நிர்ணயிப்புக்குரிய தீர்ப்பு,Law
4342,juges conseil,වාණිජ තීරකයෝ,வர்த்தக மத்தியஸ்தர்,Law
4343,jura ad rem vel in personam,දේපළ හෝ පුද්ගල අයිතිවාසිකම්,ஆதன அல்லது ஆள் குறியுரிமை,Law
4344,jura eodem modo detituuntur qui contituuntur,නිති පනවන අකාරයෙන්ම නීති අහෝසි කරනු ලැබේ.,சட்டங்கள் விதிக்கப்படும் விதத்திலேயே சட்டங்கள் நீக்கப்படும்,Law
4345,jura in re,දෙයකට ඇති අයිතිය,பொருளுரிமை,Law
4346,jura naturalia,ස්වභාවික  නීති,இயற்கையுரிமை,Law
4347,jura regalia,රාජකීය අයිතිවාසිකම්,அரசுரிமைகள்,Law
4348,jurat,දිවුරුම් වාක්‍ය,சத்திய வாக்கியம்,Law
4349,jure naturrae,ස්වභාවිකව නීතියෙන් හිමි,இயற்கையாக சட்டத்தினால் உரித்துடைய,Law
4350,jure uxoris,භාර්යාවගේ අයිතියෙන්,மனைவியின் உரிமையிலிருந்த; மனைவியின் உரிமையில்,Law
4351,juri consult,නීති විශේඥයා,சட்டஞானி; சட்டநிபுணர்; சட்ட ஆலோசகர்,Law
4352,juridical anomaly,‍නෛතික විෂමතාව,சட்ட நெறி முரண்பாடு,Law
4353,juridical conception,නෛතික සංකල්පය,சட்டநெறி எண்ணக்கரு,Law
4354,juridical personality,‍නෛතික පුද්ගලභාවය,சட்டநெறி ஆளுமை,Law
4355,juridicial theory,‍නෛතික වාදය,சட்டநெறிக் கொள்கை,Law
4356,jurisdiction,අධිකරණ බලය,நியாயாதிக்கம்,Law
4357,jurisdictional immunity,අධිකරණපාත්‍රතා නිර්මුක්තිය,நியாயாதிக்க விடுபாட்டுரிமை,Law
4358,jurisprudence,නීති විද්‍යාව,சட்டவியல்,Law
4359,jurist,නීතිවේදී,சட்ட வல்லுநர்,Law
4360,juristic entity,‍නෛතික අස්ථිත්වය,சட்டவழி உருவகம்,Law
4361,juristic interpretation,‍නෛතික අර්ථනිරූපණය,சட்டவழிப் பொருள்கோடல்,Law
4362,juristic person,‍නෛතික පුද්ගලයා,சட்டவழி ஆள்,Law
4363,juristic possession,‍නෛතික සන්තකය,சட்டவழி உடைமை,Law
4364,juror,ජූරි සභිකයා,யூரர்,Law
4365,jury,ජූරිය,யூரர் சபை,Law
4366,jury box,ජුරි මණ්ඩපය,யூரர் அமர்கூடு,Law
4367,juryman,ජූරි සභිකයා,யூரர்,Law
4368,jus accrescendi,උපචිතවිමේ අයිතිය,சட்டவழிச் சேர்மானம்,Law
4369,jus altius non tollendi,ගොඩනැගිලි උස් කිරීම වැළක්වීමේ අයිතිය,உயரம் உயர்த்தாவுரிமை,Law
4370,jus angariae,අංගරි අයිතිය,அங்கரி உரிமை,Law
4371,jus canonicium,ධර්මවෛධික නීතිය,தர்மவைதீக சட்டம்,Law
4372,jus civile,සිවිල් නිතිය,குடியியல் சட்டம்,Law
4373,jus cloacae,දිය බැස්සීමේ අයිතිය,வடிகால் செலுத்துரிமை,Law
4374,jus commune,ව්‍යවහාර නීතිය,பொதுச் சட்டம்,Law
4375,jus disponendi,අන්සතු කිරීමේ අයිතිය,கையாளும் உரிமை,Law
4376,jus dividendi,අන්තිම කැමත්තෙන් දේපළ දිමේ අයිතිය,இறுதி விருப்பின்படி சொத்து வழங்கும் உரிமை,Law
4377,jus fluminis,දිය පාරේ අයිතිය,பாய்நீருரிமை,Law
4378,jus gentium,ජාත්‍යන්තර නීතිය,மக்கள் சட்டம்,Law
4379,jus habendi,තබා ගැනීමේ අයිතිය,உடைமை உரிமை,Law
4380,jus hodiernum,වලංගුව පවත්නා නීතිය,இன்றுள நீதி; வழக்கிலுள்ள நீதி,Law
4381,jus honorarium,රෝම නීති පද්ධතිය,ரோமப் பிறேயிற்றர் சட்டம்,Law
4382,jus in personam,පුද්ගලයෙකුට විරුද්ධ අයිතිවාසිකම්,ஆளுக்கெதிரான உரிமை,Law
4383,jus in re,දේපළ සම්බන්ධ පුර්ණ අයිතිය,பொருளுரிமை; ஆதனவுடைத்தாயிருக்கும் உரிமை,Law
4384,jus mariti,ස්වාමි පුරුෂ අයිතිය,கணவனுரிமை,Law
4385,jus naturale,සියල්ලන්ට පොදු ස්වභාවික අයිතිය,அனைவருக்கும் பொதுவான இயற்கை உரிமைகள்,Law
4386,jus oneris ferendi,රුකුල් ලැබිමේ අයිතිය,ஆதாரவுரிமை,Law
4387,jus possessionis,භුක්ති අයිතිය,அனுபவ உரிமை,Law
4388,jus privatum,රෝම සිවිල් නිතිය,உரோமன் குடியியல் சட்டம்,Law
4389,jus publicum,ජන නීතිය,மக்கள் சட்டம்,Law
4390,jus publicum privatorum paetis mutuare non potet,පුද්ගලික පාර්ශ්වකරුවන් අතර එකඟතාවකින් පොදු අයිතියක් වෙනස් කළ හැකිය.,தனித்தரப்பினரிடையே ;இணக்கப்பாட்டுடன் பொது உரிமையொன்றினை மாற்றலாம்,Law
4391,jus respondendi,මත ප‍්‍රකාශ කිරිමේ අයිතිය,அபிப்பிராயத்தை தெரிவிக்கும் உரிமை; கருத்து தெரிவிக்கும் உரிமை,Law
4392,jus retentionis,රඳවා තබාගැනීමේ අයිතිය,தடுப்புரிமை; தடுத்து வைத்திருக்கும் உரிமை,Law
4393,jus retractus,ආපසු ගැනීමේ අයිතිය,மீளக்கொள்ளுரிமை; மீளப்பெறும் உரிமை,Law
4394,jus superficiarum,‍ගොඩනැගිල්ලේ අයිතිය,மீமுகாமை உரிமை,Law
4395,jus tertii,තෘතිය පාර්ශ්වයේ අයිතිය,மூன்றாமவர் உரிமை,Law
4396,jus tigni immitendi,යටලී සවිකොට රුකුල් ලැබීමේ අයිතිය,வளைமரம் செலுத்துரிமை,Law
4397,jus tigni projeciendi vel protegendi,යටලී හෝ වහල නෙරා තිබීමේ අයිතිය,வளைமரம் செலுத்துரிமை அல்லது மூடுரிமை,Law
4398,jus tillicidi vel fluminis,පියස්සෙන් හෝ පිහිල්ලෙන් වතුර බැස්සවීමේ අයිතිය,கூறை அல்லது நீரோடியால் நீர் வடிந்தோடும் உரிமை,Law
4399,jus utendi et jus fruendi,භුක්ති විඳීමේ අයිතිය,பயனுரிமை; நுகருரிமை,Law
4400,jus vindicandi,හිමිකම් තහවුරු කිරීමේ අයිතිය,உரித்து நாட்டுரிமை,Law
4401,just and equitable,යුක්තිසහගත හා සාධාරණ,நீதியானதும் ஒப்புரவானதும்,Law
4402,just and reasonable,යුක්තිසහගත හා සාධාරණ,நீதியானதும் நியாயமானதும்,Law
4403,just exceptions,යුක්තිසහගත ව්‍යතිරේක,நீதியான விதிவிலக்கு,Law
4404,just title,යුක්තිමත් හිමිකම,நீதியான உரித்து,Law
4405,justa causa,යුක්තිසහගත හේතුව,நல் ஏது; நற்காரணம்,Law
4406,justice,යුක්තිය; අධිකරණය,நீதி; நீதியரசர்,Law
4407,justice of the peace,සාමදාන විනිශ්චයකාර; සාම විනිසුරු,சமாதான நீதிவான்,Law
4408,justiciable,නීති මගින් ක්‍රියා කළ හැකි,நீதி ஆய்வுதகு,Law
4409,justifiable,යෝග්‍ය; යුක්ත,நியாயப்படுத்தக்கூடிய,Law
4410,justifiable homicide,යුක්ති සහගත මිනීමැරුම,நியாயப்படுத்தக்கூடிய ஆட்கொலை,Law
4411,justification,යුක්තිසහගත බව,நியாயப்படுத்தல்,Law
4412,justify,යුක්තිසහගත කරනවා,நியாயப்படுத்து,Law
4413,justus error,පීළිගත හැකි වරද,ஏற்றுக்கொள்ளக்கூடிய வழு,Law
4414,juvenile court,ළමා අධිකරණය,பாலியர் நீதிமன்றம்,Law
4415,juvenile delinquent,බාලපචාරීයා,பாலியத் தவறாளி,Law
4416,juvenile offender,‍‍‍‍යොවුන්වියේ වරදකරුවා,பாலிய தவறிழைப்பவர்,Law
4417,juxtaposition,යාව පිහිටිම,அடுத்தடுத்து வைத்தல்,Law
4418,Kandyan Convention,උඩරට ගිවිසුම,கண்டிய உடன்படிக்கை,Law
4419,Kandyan Marriage and Divorce Ordinance,උඩරට විවාහ හා දික්කසාද පනත,கண்டிய விவாக-மணநீக்கக் கட்டளைச்சட்டம்,Law
4420,keelage,තොටුපොළ ගාස්තු,நிலையக் கட்டணம்,Law
4421,keep in cutody,අත් අඩංගුවේ තබනවා,தடுப்புக்காவலில் வைத்தல்,Law
4422,keep the peace,සාමය රකිනවා,சமாதானத்தை நிலைக்கவை,Law
4423,keep under surveillance,පරීක්ෂාවේ තබනවා,கண்காணிப்பில் வைத்திரு,Law
4424,keeper,භාරකරු,காப்பாளர்,Law
4425,keeper of public records,රාජ්‍ය ලේඛන භාරකරු,பொதுப் பதிவேட்டுக் காப்பாளர்,Law
4426,keeper of the public seal,රාජ්‍ය මුද්‍රා භාරකරු,அரச இலச்சினை காப்பாளர்,Law
4427,keeper of the royal seal,රාජකීය මුද්‍රා භාරකරු,அரசகுல முத்திரை காப்பாளர்,Law
4428,kidnap,අපහරණය කරනවා,ஆட்கவர்,Law
4429,kinetic,චාලක,இயக்கப்பாட்டிற்குரிய,Law
4430,king in council,රාජ සභාව,அரச சபை,Law
4431,king's authority,රාජාධිපත්‍යය,அரசதிகாரம்,Law
4432,king's counsel,රාජ නීතිඥ,அரச சட்டஅறிஞர்,Law
4433,king's dominions,රාජ විජිතය; රජුගේ ඩොමිනියන් රාජ්‍යය,அரச ஆள்புலம்,Law
4434,king's grace,රාජානුග‍්‍රහය,அரச அனுசரணை,Law
4435,king's mot excellent majety,අති උත්තම මහරජතුමාණන් වහන්සේ,மாட்சிமைமிக்க அரசன்; அதிமேதகு அரசன்,Law
4436,king's orders,රාජ නියෝග,அரச கட்டளைகள்,Law
4437,king's prerogative,රාජ පරමාධිකාරය,வேந்தனின் மீயுரிமை,Law
4438,king's printer,රාජ මුද්‍රණකරු,அரச அச்சகர்,Law
4439,king's subject,රජතුමාගේ යටත්වැසියා,அரசரின் பிரசைகள்,Law
4440,kingship,රාජ පදවිය,அரச பதவி,Law
4441,kleptomania,චෞරෝන්මාදය,திருட்டுப் பித்து,Law
4442,knock for knock,ගැටුමට ගැටුම,மோதலுக்கு மோதல்,Law
4443,knock out,වෙන්දේසියකදි නොඉල්ලී‍‍‍මේ සම්මුතිය,உடனடி வெளியேற்றம்,Law
4444,knot,නාවික සැතපුම,முடிச்சு,Law
4445,label,‍ලේබලය,ஒட்டுத்துண்டு,Law
4446,labour (n),ශ්‍රමය,உழைப்பாளர்,Law
4447,labour (v),වෙහෙස ගන්නවා; පරිශ්‍රම දරනවා,உழைப்பு;பாடுபடு,Law
4448,labour law,කම්කරු නිතිය,தொழிற் சட்டம்,Law
4449,labour legislation,කම්කරු නීති පැනවීම,தொழில்சார் சட்டங்கள்,Law
4450,labour tribunal,කම්කරු විනිශ්චය අධිකාරය; කම්කරු විනිශ්චය සභාව,தொழில் நியாயசபை,Law
4451,labourer,කුලීකරුවා; කම්කරුවා,தொழிலாளி; உழைப்பாளி,Law
4452,laches,ප්‍රමාද,செயற்சுணக்கம்,Law
4453,lacuna,හිඩැස,இல்வெளி,Law
4454,laesio enormis,බලවත් පාඩුව,பாரிய சேதம்,Law
4455,laesio fidei,විශ්වාසය බිඳීම,நம்பிக்கை முறிவு,Law
4456,laissez-faire,නිර්බාධය,தலையிடாமைக் கொள்கை,Law
4457,laity,ගිහි පක්ෂය,சாமானியர்,Law
4458,land,ඉඩම,காணி,Law
4459,land acquisition,ඉඩම් අත්කර ගැනීම,காணி கொள்ளுதல்,Law
4460,land acquisition act,ඉඩම් අත්කර ගැනීමේ පනත,காணி சுவீகரித்தல் சட்டம்,Law
4461,Land Acquisition Ordinance,ඉඩම් අත්කර ගැනීමේ ආඥාපනත,காணி சுவீகரித்தல் கட்டளைச் சட்டம்,Law
4462,land alienation,ඉඩම් අන්සතු කිරීම,காணி பராதீனப்படுத்தல்,Law
4463,land case,ඉඩම් නඩුව,காணி வழக்கு,Law
4464,land commissioner,ඉඩම් කොමසාරිස්,காணி ஆணையாளர்,Law
4465,Land Development Ordinance,ඉඩම් සංවර්ධන ආඥාපනත,காணி அபிவிருத்தி கட்டளைச்சட்டம்,Law
4466,land drainage,භූජල වහනය,காணி வடிகாலமைப்பு,Law
4467,land kachcheri,ඉඩම් කච්චේරිය,காணிக் கச்சேரி,Law
4468,land mark,ඉම් සලකුණ,காணிஅடையாளக்குறி,Law
4469,land officer,ඉඩම් නිලධාරී,காணி அலுவலர்,Law
4470,land redemption ordinance,ඉඩම් නිදහස් කිරීමේ ආඥාපනත,காணி மீட்பு கட்டளைச்சட்டம்,Law
4471,land registration,ඉඩම් ලියාපදිංචි කිරීම,காணிப் பதிவு,Law
4472,land registry,ඉඩම් ලියාපදිංචි කිරීමේ කාර්යාලය,காணிப் பதிவகம்,Law
4473,land resumption,ඉඩම් ආපසු ගැනීම,காணி மீள ஏற்றல்,Law
4474,land resumption ordinance,ආඥාපනත,காணி மீள எடுத்தல் கட்டளைச்சட்டம்,Law
4475,land settlement,ඉඩම් නිරවුල් කිරීම,காணி நிர்ணயம் செய்தல்,Law
4476,land settlement ordinance,ඉඩම් නිරවුල් කිරීමේ ආඥාපනත,காணி நிர்ணய கட்டளைகள் சட்டம்,Law
4477,land settlement scheme,ඉඩම්වල පදිංචිකිරීමේ යෝජනා ක‍්‍රමය,காணி நிர்ணயத் திட்டம்,Law
4478,land surveys ordinance,ඉඩම් මැනීමේ ආඥාපනත,நில அளவைகள் கட்டளைகள் சட்டம்,Law
4479,land tax,බිම් බද්ද,காணி வரி,Law
4480,land tenure,ඉඩම් බුත්තිය; ඉඩම් බුත්ති ක‍්‍රමය,காணி வாரமுறை ; நில உரிமை முறை ; நிலக்குடி முறை .,Law
4481,land transfer,ඉඩම් පැවරීම,காணி கைமாற்றம்,Law
4482,land tribunal,ඉඩම් විනිශ්චය සභාව,காணி நியாய சபை,Law
4483,land waiter (tide waiter),බඩු බෑම් නිරීක්ෂකයා,சுங்க கப்பல்துறை காவலர்,Law
4484,landlocked,භූමියෙන් වටවූ,நிலஞ்சூழ்,Law
4485,landlord,ඉඩම් හිමියා; ගෙවල් හිමියා,நிலக்கிழார்,Law
4486,landlord and tenant,ඉඩම් හිමියා හා කුලී නිවැසියා,நிலக்கிழாரும் வாடகைக் குடியிருப்பாளரும்,Law
4487,lands; crown,රජයේ ඉඩම්,அரச காணி,Law
4488,landscape,භූ දර්ශනය,நிலத்தோற்றம்,Law
4489,language of administration,පරිපාලන භාෂාව,நிர்வாக மொழி,Law
4490,language of legislation,නීති පැනවීමේ භාෂාව,சட்டமியற்றும் மொழி,Law
4491,lapidation,ගල්ගසා මැරීම,கல்லால் அடித்து கொல்லுதல்,Law
4492,lapse,ගෙවී යනවා; ගතවී යනවා,காலக்கழிவு; விடுதவறு,Law
4493,lapse of time,කාලය ඉක්මයාම,காலம் கடந்து போதல்,Law
4494,lapsed portion,අහිමි වූ පංගුව,இழக்கப்பட்ட பகுதி,Law
4495,larceny,සුළු සොරකම,பொருட் திருட்டு,Law
4496,lash (n),කස පහර,சவுக்கடி,Law
4497,lash (v),දැඩි ලෙස විවේචනය කරනවා,கடுமையாக விமர்சித்தல்,Law
4498,last opportunity rule,අවසාන අවස්ථා රීතිය,இறுதிச் சந்தர்ப்பவிதி,Law
4499,last will,අන්තිම කැමති පත‍්‍රය,இறுதி விருப்பாவணம்,Law
4500,last will and statement,අන්තිම කැමති පත‍්‍රය සහ ප්‍රකාශය,இறுதி விருப்பாவணமும் மரண சாசனமும்,Law
4501,latent ambiguities,ප‍්‍රච්ඡන්න ද්ව්‍යර්ථිකතාව,புலப்படாப் பொருண் மயக்கங்கள்,Law
4502,latent defect,ප‍්‍රච්ඡන්න ‍දෝෂය,புலப்படாக் குறைபாடு,Law
4503,latent increment,ප‍්‍රච්ඡන්න වර්ධකය,புலப்படா ஏற்றம்,Law
4504,latent uncertainty,ප‍්‍රච්ජන්න අනියතතාව,புலப்படா அநிச்சயம்,Law
4505,lateral support,ආංශික ආධාරය,துணையாதாரம்,Law
4506,law,නීතිය,சட்டம்,Law
4507,law court,අධිකරණ,நீதிமன்றம்,Law
4508,law critic,නීති විවේචන,சட்டத் திறனாய்வாளர்,Law
4509,law for the time being in force,තක්කාල නීතිය,அப்போதைக்கு வலுவிலுள்ள சட்டம்,Law
4510,law library,නීති පුස්තකාලය,சட்ட நூலகம்  புத்தகசாலை,Law
4511,law making treaty,නීති සාදන සන්ධානය,சட்டமியற்றும் பொருத்தனை,Law
4512,law of agency,නියෝජ්‍යත්ව නීතිය,முகவராண்மைச் சட்டம்,Law
4513,law of contiguity,සන්නිධි නීතිය,அண்மைச்சார்வு விதி,Law
4514,law of contract,ගිවිසුම් නීතිය,ஒப்பந்தச் சட்டம்,Law
4515,law of diminishing marginal utility,හිනවන ආන්තික උපයෝගීතා න්‍යාය,குறையும் வரம்புப் பயன் விதி,Law
4516,Law of England,එංගලන්ත නීතිය,ஆங்கிலேயச் சட்டம்,Law
4517,law of evidence,සාක්ෂි පිළිබඳ නීතිය,சான்றுச் சட்டம்,Law
4518,Law of indemnity,හානිපූරණ නීතිය,நட்டவிலக்குச் சட்டம்,Law
4519,law of indentity,අනන්‍යතා නියමය,தண்டவிலக்குச் சட்டம்,Law
4520,law of inheritance,උරුම නීතිය,மரபுரிமைச் சட்டம்,Law
4521,law of nature,ස්වභාව නීතිය,இயற்கைச் சட்டம்,Law
4522,law of partnership,හවුල් ව්‍යාපාර නීතිය,பங்காண்மைச் சட்டம்,Law
4523,law of persons,පුද්ගල නීතිය,ஆள்சார் சட்டம்,Law
4524,law of prescription,කාලාවරෝධ නීතිය,காலவிதிப்புச் சட்டம்,Law
4525,law of property,දේපළ නීතිය,ஆதனஞ்சார் சட்டம்,Law
4526,law of succession,අනුප‍්‍රාප්ති නීතිය,பின்னுரிமைச் சட்டம்,Law
4527,law of tort,සිවිල් වරද පිළිබඳ නීතිය,தீங்கியற் சட்டம்,Law
4528,law of truts,භාර නීතිය,நம்பிக்கைப்பொறுப்புச் சட்டம்,Law
4529,law of war,යුද්ධ නීතිය,யுத்தச் சட்டம்,Law
4530,law proceedings,නීති කෘත්‍ය,சட்ட நடவடிக்கைகள்,Law
4531,law reform,නීති ප‍්‍රතිසංස්කරණය,சட்ட மீள்சீரமைப்பு,Law
4532,law report,නීති වාර්තාව,சட்ட அறிக்கை,Law
4533,law reports,නීති වාර්තා,சட்ட அறிக்கைகள்,Law
4534,law revision,නීති ප්‍රතිශෝධනය,சட்ட மீளாய்வு,Law
4535,law revision committee,නීති ප්‍රතිශෝධන සභාව,சட்ட மீளாய்வுக் குழு,Law
4536,law society,නීතීඥ සංගමය,சட்டக் கழகம்,Law
4537,law terms,නීති පද,சட்டப் பதங்கள்,Law
4538,lawful,නීත්‍යනුකූල,சட்டமுறையான,Law
4539,lawful act,නීත්‍යනුකූල ක‍්‍රියාව,சட்டமுறையான செயல்,Law
4540,lawful aurhority,නීත්‍යනුකූල බලය; නිත්‍යනුකුල අධිකාරය,சட்டமுறையான அதிகாரம்,Law
4541,lawful cause,නීත්‍යනුකූල හේතුව,சட்டமுறையான ஏது,Law
4542,lawful charge,නීත්‍යනුකූල චෝදනාව,சட்டமுறையான குற்றச்சாட்டு,Law
4543,lawful cutody,නීත්‍යනුකූල අත්අඩංගුව,சட்டமுறையான கட்டுக்காவல்,Law
4544,lawful detention,නීත්‍යනුකූලව රඳවා තබා ගැනීම,சட்டமுறையான  தடுத்துவைப்பு,Law
4545,lawful exception,නීත්‍යනුකූල ව්‍යතිරේකය,சட்டமுறையான விதிவிலக்கு,Law
4546,lawful excuse,නීත්‍යනුකූල සහන හේතුව,சட்டமுறையான சாக்கு,Law
4547,lawful guardian,නීත්‍යනුකූල භාරකරු,சட்டமுறையான பாதுகாவலர்,Law
4548,lawful hindrance,නිත්‍යනුකූල අවහිරය,சட்டமுறையான இடையூறு,Law
4549,lawful holder,නීත්‍යනුකූල දරන්නා,சட்டமுறையாக வைத்திருப்போர்,Law
4550,lawful impediment,නීතියෙන් පිළිගත් බාධාව,சட்டமுறையான தடங்கல்,Law
4551,lawful jutification,නීත්‍යනුකූල සාධාරණීයකරණය,சட்டமுறையான நியாயப்படுத்துகை,Law
4552,lawful marriage,නිත්‍යනුකූල විවාහය,சட்டமுறையான விவாகம்,Law
4553,lawful order,නීත්‍යනුකූල ආඥාව,சட்டமுறையான கட்டளை,Law
4554,lawful ownership,නීත්‍යනුකූල හිමිකම,சட்டமுறையான சொந்தம்,Law
4555,lawful possession,නීත්‍යනුකූල සන්තකය,சட்டமுறையான உடைமை,Law
4556,lawful rate,නීත්‍යනුකූල අනුපාතය,சட்டமுறையான வீதம்,Law
4557,lawful request,නීත්‍යනුකූල ඉල්ලීම,சட்டமுறையான வேண்டுகோள்,Law
4558,lawful vote,නීත්‍යනුකූල ඡන්දය,சட்டமுறையான வாக்கெடுப்பு,Law
4559,lawful wedlock,නීත්‍යනුකූල විවාහ බන්ධනය,சட்டமுறையான விவாகம்,Law
4560,lawfully,නීත්‍යනුකූලව,சட்டமுறையாக,Law
4561,lawfully authorised,නීත්‍යනුකුලව බලයලත්,சட்டமுறையாக அதிகாரமளிக்கப்பட்ட,Law
4562,lawfully entitled,නීත්‍යනුකූලව හිමිවූ,சட்டமுறையாக உரித்துடைய,Law
4563,lawless,නීති නොතකන,சட்டவிகந்த,Law
